Designator,Mid X,Mid Y,Rotation,Layer
C1,110.42,-69.6,180.0,top
C10,146.25,-92.3,180.0,top
C11,146.175,-102.225,180.0,top
C12,145.35,-131.5,0.0,top
C13,134.35,-77.725,90.0,top
C14,124.1,-132.85,0.0,top
C15,118.85,-137.4,180.0,top
C2,111.095,-90.65,180.0,top
C3,111.12,-111.95,180.0,top
C4,111.645,-133.65,180.0,top
C5,141.45,-144.775,0.0,top
C6,139.85,-104.425,90.0,top
C7,137.65,-99.25,270.0,top
D1,134.325,-72.575,90.0,top
D10,119.6,-144.855,270.0,top
D11,136.2,-125.605,270.0,top
D6,129.6,-147.08,270.0,top
D7,148.45,-147.705,270.0,top
D8,138.45,-135.405,270.0,top
D9,132.225,-135.98,270.0,top
R1,152.75,-123.95,180.0,top
R2,158.1125,-112.925,270.0,top
R3,152.2625,-112.9,90.0,top
U1,137.775,-89.195,90.0,top
U2,134.225,-112.79,90.0,top
U3,140.75,-122.775,0.0,top
U4,137.4,-66.4,180.0,top
USB1,136.825,-152.075,0.0,top
USB2,104.62,-73.05,270.0,top
USB3,104.67,-94.145,270.0,top
USB4,104.695,-115.25,270.0,top
USB5,104.695,-137.175,270.0,top
Y1,150.675,-96.975,270.0,top
